direction, mx, my, mz, mx_max, my_max, mz_max, mx_min, my_min, mz_min,,mx,my,mz,,,,,,,,,,,,,,mx,my,mz,,,,,,,,,,,,,mx,my,mz
Left,-30,-17,18,0,9,24,-59,-17,7,,,,,,,Right,-22,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-27,-32,-9,24,93,26,-100,-38,-111,,,,
Left,-28,-17,18,0,9,24,-59,-17,7,,,,,,,Right,-24,-6,18,24,91,26,-100,-38,-111,,,,,,Straight,-26,-34,-13,24,93,26,-100,-38,-111,,,,
Left,-27,-17,20,0,9,24,-59,-17,7,,,,,,,Right,-22,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-24,-34,-15,24,93,26,-100,-38,-111,,,,
Left,-29,-18,17,0,9,24,-59,-18,7,,,,,,,Right,-22,-4,18,24,91,26,-100,-38,-111,,,,,,Straight,-24,-34,-18,24,93,26,-100,-38,-111,,,,
Left,-27,-18,18,0,9,24,-59,-18,7,,,,,,,Right,-23,-6,16,24,91,26,-100,-38,-111,,,,,,Straight,-25,-33,-19,24,93,26,-100,-38,-111,,,,
Left,-29,-17,17,0,9,24,-59,-18,7,,,,,,,Right,-24,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-24,-34,-21,24,93,26,-100,-38,-111,,,,
Left,-29,-18,17,0,9,24,-59,-18,7,,,,,,,Right,-23,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-24,-35,-24,24,93,26,-100,-38,-111,,,,
Left,-27,-19,19,0,9,24,-59,-19,7,,,,,,,Right,-22,-6,15,24,91,26,-100,-38,-111,,,,,,Straight,-24,-33,-27,24,93,26,-100,-38,-111,,,,
Left,-29,-19,16,0,9,24,-59,-19,7,,,,,,,Right,-23,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-24,-36,-30,24,93,26,-100,-38,-111,,,,
Left,-30,-19,19,0,9,24,-59,-19,7,,,,,,,Right,-21,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-22,-35,-35,24,93,26,-100,-38,-111,,,,
Left,-30,-18,17,0,9,24,-59,-19,7,,,,,,,Right,-22,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-24,-35,-37,24,93,26,-100,-38,-111,,,,
Left,-30,-19,15,0,9,24,-59,-19,7,,,,,,,Right,-21,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-28,-36,-37,24,93,26,-100,-38,-111,,,,
Left,-31,-20,17,0,9,24,-59,-20,7,,,,,,,Right,-21,-8,16,24,91,26,-100,-38,-111,,,,,,Straight,-24,-37,-40,24,93,26,-100,-38,-111,,,,
Left,-31,-20,17,0,9,24,-59,-20,7,,,,,,,Right,-21,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-24,-34,-43,24,93,26,-100,-38,-111,,,,
Left,-31,-18,17,0,9,24,-59,-20,7,,,,,,,Right,-21,-9,16,24,91,26,-100,-38,-111,,,,,,Straight,-24,-34,-44,24,93,26,-100,-38,-111,,,,
Left,-30,-18,16,0,9,24,-59,-20,7,,,,,,,Right,-20,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-23,-35,-48,24,93,26,-100,-38,-111,,,,
Left,-30,-18,18,0,9,24,-59,-20,7,,,,,,,Right,-20,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-21,-33,-51,24,93,26,-100,-38,-111,,,,
Left,-30,-18,18,0,9,24,-59,-20,7,,,,,,,Right,-20,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-25,-31,-54,24,93,26,-100,-38,-111,,,,
Left,-30,-17,16,0,9,24,-59,-20,7,,,,,,,Right,-21,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-22,-31,-55,24,93,26,-100,-38,-111,,,,
Left,-30,-17,17,0,9,24,-59,-20,7,,,,,,,Right,-19,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-22,-29,-59,24,93,26,-100,-38,-111,,,,
Left,-31,-19,16,0,9,24,-59,-20,7,,,,,,,Right,-21,-6,18,24,91,26,-100,-38,-111,,,,,,Straight,-22,-29,-62,24,93,26,-100,-38,-111,,,,
Left,-30,-19,16,0,9,24,-59,-20,7,,,,,,,Right,-18,-6,18,24,91,26,-100,-38,-111,,,,,,Straight,-23,-26,-62,24,93,26,-100,-38,-111,,,,
Left,-30,-18,17,0,9,24,-59,-20,7,,,,,,,Right,-20,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-20,-26,-63,24,93,26,-100,-38,-111,,,,
Left,-32,-19,19,0,9,24,-59,-20,7,,,,,,,Right,-17,-5,16,24,91,26,-100,-38,-111,,,,,,Straight,-20,-24,-67,24,93,26,-100,-38,-111,,,,
Left,-34,-18,20,0,9,24,-59,-20,7,,,,,,,Right,-19,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-21,-24,-66,24,93,26,-100,-38,-111,,,,
Left,-35,-17,17,0,9,24,-59,-20,7,,,,,,,Right,-19,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-20,-21,-70,24,93,26,-100,-38,-111,,,,
Left,-34,-16,20,0,9,24,-59,-20,7,,,,,,,Right,-18,-5,18,24,91,26,-100,-38,-111,,,,,,Straight,-19,-22,-71,24,93,26,-100,-38,-111,,,,
Left,-35,-16,21,0,9,24,-59,-20,7,,,,,,,Right,-21,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-19,-22,-72,24,93,26,-100,-38,-111,,,,
Left,-36,-16,19,0,9,24,-59,-20,7,,,,,,,Right,-19,-6,15,24,91,26,-100,-38,-111,,,,,,Straight,-17,-21,-70,24,93,26,-100,-38,-111,,,,
Left,-38,-17,20,0,9,24,-59,-20,7,,,,,,,Right,-20,-6,16,24,91,26,-100,-38,-111,,,,,,Straight,-18,-17,-77,24,93,26,-100,-38,-111,,,,
Left,-39,-16,20,0,9,24,-59,-20,7,,,,,,,Right,-18,-5,17,24,91,26,-100,-38,-111,,,,,,Straight,-18,-16,-75,24,93,26,-100,-38,-111,,,,
Left,-39,-15,22,0,9,24,-59,-20,7,,,,,,,Right,-21,-3,19,24,91,26,-100,-38,-111,,,,,,Straight,-20,-15,-77,24,93,26,-100,-38,-111,,,,
Left,-41,-12,22,0,9,24,-59,-20,7,,,,,,,Right,-18,-6,16,24,91,26,-100,-38,-111,,,,,,Straight,-19,-16,-78,24,93,26,-100,-38,-111,,,,
Left,-41,-12,22,0,9,24,-59,-20,7,,,,,,,Right,-20,-4,18,24,91,26,-100,-38,-111,,,,,,Straight,-21,-16,-77,24,93,26,-100,-38,-111,,,,
Left,-42,-11,23,0,9,24,-59,-20,7,,,,,,,Right,-19,-3,18,24,91,26,-100,-38,-111,,,,,,Straight,-21,-14,-78,24,93,26,-100,-38,-111,,,,
Left,-43,-13,23,0,9,24,-59,-20,7,,,,,,,Right,-20,-5,18,24,91,26,-100,-38,-111,,,,,,Straight,-20,-16,-79,24,93,26,-100,-38,-111,,,,
Left,-47,-11,22,0,9,24,-59,-20,7,,,,,,,Right,-20,-4,18,24,91,26,-100,-38,-111,,,,,,Straight,-20,-11,-80,24,93,26,-100,-38,-111,,,,
Left,-47,-11,23,0,9,24,-59,-20,7,,,,,,,Right,-20,-5,16,24,91,26,-100,-38,-111,,,,,,Straight,-18,-15,-80,24,93,26,-100,-38,-111,,,,
Left,-47,-11,23,0,9,24,-59,-20,7,,,,,,,Right,-18,-5,20,24,91,26,-100,-38,-111,,,,,,Straight,-17,-12,-81,24,93,26,-100,-38,-111,,,,
Left,-48,-12,22,0,9,24,-59,-20,7,,,,,,,Right,-22,-7,19,24,91,26,-100,-38,-111,,,,,,Straight,-16,-12,-80,24,93,26,-100,-38,-111,,,,
Left,-48,-11,23,0,9,24,-59,-20,7,,,,,,,Right,-23,-4,16,24,91,26,-100,-38,-111,,,,,,Straight,-16,-12,-81,24,93,26,-100,-38,-111,,,,
Left,-48,-8,22,0,9,24,-59,-20,7,,,,,,,Right,-21,-4,18,24,91,26,-100,-38,-111,,,,,,Straight,-17,-12,-84,24,93,26,-100,-38,-111,,,,
Left,-50,-10,23,0,9,24,-59,-20,7,,,,,,,Right,-20,-5,17,24,91,26,-100,-38,-111,,,,,,Straight,-16,-9,-84,24,93,26,-100,-38,-111,,,,
Left,-50,-10,23,0,9,24,-59,-20,7,,,,,,,Right,-19,-4,19,24,91,26,-100,-38,-111,,,,,,Straight,-14,-10,-85,24,93,26,-100,-38,-111,,,,
Left,-51,-9,23,0,9,24,-59,-20,7,,,,,,,Right,-18,-1,19,24,91,26,-100,-38,-111,,,,,,Straight,-15,-7,-85,24,93,26,-100,-38,-111,,,,
Left,-50,-7,24,0,9,24,-59,-20,7,,,,,,,Right,-16,-3,17,24,91,26,-100,-38,-111,,,,,,Straight,-15,-5,-84,24,93,26,-100,-38,-111,,,,
Left,-52,-8,25,0,9,25,-59,-20,7,,,,,,,Right,-18,-1,18,24,91,26,-100,-38,-111,,,,,,Straight,-16,-4,-88,24,93,26,-100,-38,-111,,,,
Left,-53,-6,22,0,9,25,-59,-20,7,,,,,,,Right,-17,0,18,24,91,26,-100,-38,-111,,,,,,Straight,-15,-3,-88,24,93,26,-100,-38,-111,,,,
Left,-57,-4,22,0,9,25,-59,-20,7,,,,,,,Right,-17,-1,18,24,91,26,-100,-38,-111,,,,,,Straight,-14,-2,-89,24,93,26,-100,-38,-111,,,,
Left,-58,-5,22,0,9,25,-59,-20,7,,,,,,,Right,-16,1,19,24,91,26,-100,-38,-111,,,,,,Straight,-13,1,-89,24,93,26,-100,-38,-111,,,,
Left,-60,-3,24,0,9,25,-60,-20,7,,,,,,,Right,-16,1,18,24,91,26,-100,-38,-111,,,,,,Straight,-13,-2,-91,24,93,26,-100,-38,-111,,,,
Left,-58,-2,23,0,9,25,-60,-20,7,,,,,,,Right,-17,2,17,24,91,26,-100,-38,-111,,,,,,Straight,-12,1,-93,24,93,26,-100,-38,-111,,,,
Left,-61,1,23,0,9,25,-61,-20,7,,,,,,,Right,-14,2,18,24,91,26,-100,-38,-111,,,,,,Straight,-11,2,-93,24,93,26,-100,-38,-111,,,,
Left,-60,1,23,0,9,25,-61,-20,7,,,,,,,Right,-15,4,19,24,91,26,-100,-38,-111,,,,,,Straight,-12,2,-93,24,93,26,-100,-38,-111,,,,
Left,-63,2,24,0,9,25,-63,-20,7,,,,,,,Right,-15,3,19,24,91,26,-100,-38,-111,,,,,,Straight,-12,4,-94,24,93,26,-100,-38,-111,,,,
Left,-63,2,22,0,9,25,-63,-20,7,,,,,,,Right,-13,2,18,24,91,26,-100,-38,-111,,,,,,Straight,-11,5,-93,24,93,26,-100,-38,-111,,,,
Left,-65,4,21,0,9,25,-65,-20,7,,,,,,,Right,-13,3,17,24,91,26,-100,-38,-111,,,,,,Straight,-9,7,-93,24,93,26,-100,-38,-111,,,,
Left,-63,7,22,0,9,25,-65,-20,7,,,,,,,Right,-16,3,19,24,91,26,-100,-38,-111,,,,,,Straight,-12,10,-94,24,93,26,-100,-38,-111,,,,
Left,-65,8,21,0,9,25,-65,-20,7,,,,,,,Right,-15,2,21,24,91,26,-100,-38,-111,,,,,,Straight,-13,9,-95,24,93,26,-100,-38,-111,,,,
Left,-64,9,22,0,9,25,-65,-20,7,,,,,,,Right,-17,4,18,24,91,26,-100,-38,-111,,,,,,Straight,-10,10,-95,24,93,26,-100,-38,-111,,,,
Left,-65,10,22,0,10,25,-65,-20,7,,,,,,,Right,-16,3,18,24,91,26,-100,-38,-111,,,,,,Straight,-11,12,-96,24,93,26,-100,-38,-111,,,,
Left,-64,13,21,0,13,25,-65,-20,7,,,,,,,Right,-16,2,18,24,91,26,-100,-38,-111,,,,,,Straight,-10,13,-98,24,93,26,-100,-38,-111,,,,
Left,-66,14,23,0,14,25,-66,-20,7,,,,,,,Right,-17,4,17,24,91,26,-100,-38,-111,,,,,,Straight,-11,13,-97,24,93,26,-100,-38,-111,,,,
Left,-65,14,21,0,14,25,-66,-20,7,,,,,,,Right,-18,3,18,24,91,26,-100,-38,-111,,,,,,Straight,-11,15,-99,24,93,26,-100,-38,-111,,,,
Left,-63,15,22,0,15,25,-66,-20,7,,,,,,,Right,-18,-1,18,24,91,26,-100,-38,-111,,,,,,Straight,-9,16,-100,24,93,26,-100,-38,-111,,,,
Left,-65,14,22,0,15,25,-66,-20,7,,,,,,,Right,-19,1,19,24,91,26,-100,-38,-111,,,,,,Straight,-10,16,-100,24,93,26,-100,-38,-111,,,,
Left,-63,17,23,0,17,25,-66,-20,7,,,,,,,Right,-23,1,19,24,91,26,-100,-38,-111,,,,,,Straight,-10,19,-100,24,93,26,-100,-38,-111,,,,
Left,-66,17,21,0,17,25,-66,-20,7,,,,,,,Right,-20,0,20,24,91,26,-100,-38,-111,,,,,,Straight,-9,20,-100,24,93,26,-100,-38,-111,,,,
Left,-62,18,22,0,18,25,-66,-20,7,,,,,,,Right,-23,-3,20,24,91,26,-100,-38,-111,,,,,,Straight,-11,23,-99,24,93,26,-100,-38,-111,,,,
Left,-63,20,20,0,20,25,-66,-20,7,,,,,,,Right,-21,3,20,24,91,26,-100,-38,-111,,,,,,Straight,-8,25,-99,24,93,26,-100,-38,-111,,,,
Left,-63,20,21,0,20,25,-66,-20,7,,,,,,,Right,-22,3,22,24,91,26,-100,-38,-111,,,,,,Straight,-6,27,-99,24,93,26,-100,-38,-111,,,,
Left,-67,23,20,0,23,25,-67,-20,7,,,,,,,Right,-24,3,22,24,91,26,-100,-38,-111,,,,,,Straight,-6,28,-101,24,93,26,-100,-38,-111,,,,
Left,-65,24,20,0,24,25,-67,-20,7,,,,,,,Right,-22,6,20,24,91,26,-100,-38,-111,,,,,,Straight,-9,29,-100,24,93,26,-100,-38,-111,,,,
Left,-63,24,21,0,24,25,-67,-20,7,,,,,,,Right,-21,5,20,24,91,26,-100,-38,-111,,,,,,Straight,-5,30,-99,24,93,26,-100,-38,-111,,,,
Left,-62,27,20,0,27,25,-67,-20,7,,,,,,,Right,-24,8,23,24,91,26,-100,-38,-111,,,,,,Straight,-4,31,-100,24,93,26,-100,-38,-111,,,,
Left,-64,26,20,0,27,25,-67,-20,7,,,,,,,Right,-25,11,20,24,91,26,-100,-38,-111,,,,,,Straight,-3,32,-101,24,93,26,-100,-38,-111,,,,
Left,-63,28,21,0,28,25,-67,-20,7,,,,,,,Right,-25,12,21,24,91,26,-100,-38,-111,,,,,,Straight,-6,32,-99,24,93,26,-100,-38,-111,,,,
Left,-64,28,22,0,28,25,-67,-20,7,,,,,,,Right,-25,14,22,24,91,26,-100,-38,-111,,,,,,Straight,-6,34,-103,24,93,26,-100,-38,-111,,,,
