61, 1, 650, 0, -12, 33, -3, 31, 1.36, -4.08, 44.23, -157.80, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 161.57, 348.47, -173.10
62, 0, 166, 0, -13, 33, -8, 30, 1.62, -4.06, 45.86, -161.86, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 158.20, 348.21, -169.98
62, 1, 891, 0, -12, 31, -4, 32, -0.00, -4.37, 45.86, -166.23, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 348.50, 168.50
63, 0, 142, 0, -9, 31, -6, 31, -0.00, -4.44, 45.86, -170.67, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 348.77, 168.77
64, 1, 842, 0, -6, 32, -5, 30, 0.37, -4.50, 46.23, -175.17, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 175.24, 348.93, 173.69
65, 1, 663, 0, -9, 30, -7, 31, -0.51, -4.56, 45.73, -179.73, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 186.34, 349.34, 163.00
65, 0, 138, 0, -8, 32, -6, 32, 0.46, -4.56, 46.18, -184.29, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 174.29, 349.45, 175.16
66, 1, 881, 0, -10, 31, -7, 31, -0.00, -4.65, 46.18, -188.95, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 349.69, 169.69
67, 0, 134, 0, -7, 34, -6, 30, 1.24, -4.56, 47.42, -193.50, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.74, 349.58, -175.17
68, 1, 842, 0, -11, 33, -6, 31, 1.32, -4.61, 48.74, -198.12, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 349.45, -174.60
69, 1, 610, 0, -11, 32, -4, 31, 0.69, -4.82, 49.43, -202.93, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 171.87, 349.51, 177.64
70, 0, 132, 0, -8, 33, -7, 32, 0.97, -4.84, 50.40, -207.77, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 168.69, 349.49, -179.20
70, 1, 888, 0, -10, 36, -3, 30, 2.21, -4.42, 52.61, -212.19, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 153.43, 349.14, -164.29
71, 0, 156, 0, -11, 35, -5, 31, 1.97, -4.60, 54.58, -216.79, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 348.88, -167.92
72, 1, 875, 0, -14, 33, -5, 32, 1.89, -4.71, 56.47, -221.51, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 158.20, 348.65, -169.55
73, 1, 501, 0, -11, 31, -8, 30, -0.00, -5.15, 56.47, -226.66, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 348.89, 168.89
74, 0, 136, 0, -8, 31, -4, 31, -0.00, -5.22, 56.47, -231.88, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 349.13, 169.13
74, 1, 876, 0, -9, 32, -6, 31, 0.58, -5.19, 57.04, -237.06, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 173.66, 349.22, 175.56
75, 0, 131, 0, -7, 32, -8, 32, 0.48, -5.27, 57.52, -242.33, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 174.81, 349.33, 174.53
76, 1, 868, 0, -6, 31, -5, 30, -0.00, -5.36, 57.52, -247.69, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 349.55, 169.55
77, 0, 131, 0, -8, 31, -3, 31, -0.00, -5.43, 57.52, -253.12, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 349.76, 169.76
78, 0, 129, 0, -8, 30, -5, 31, -0.55, -5.47, 56.97, -258.60, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 185.71, 350.08, 164.37
